freq (Hz),ISL (dB)
309.54,33.8005
310.213,34.4028
310.886,34.6825
311.559,38.1969
312.231,38.6253
312.904,36.6057
313.577,33.9544
314.25,32.2146
314.923,32.0106
315.596,31.8194
316.269,32.4376
316.942,32.3766
317.615,32.6379
318.288,32.6985
318.961,32.4424
319.633,32.6758
320.306,32.1428
320.979,32.2986
321.652,31.9772
322.325,31.3164
322.998,30.8755
323.671,30.5414
324.344,31.3497
325.017,31.3121
325.69,30.256
326.363,31.7289
327.036,33.0323
327.708,32.3026
328.381,33.3919
329.054,36.2935
329.727,39.9312
330.4,41.1773
331.073,39.002
331.746,37.7271
332.419,36.8782
333.092,35.7062
333.765,35.5488
334.438,34.8655
335.11,33.7724
335.783,34.4801
336.456,33.7839
337.129,34.1036
337.802,33.6992
338.475,33.1461
339.148,33.827
339.821,33.9507
340.494,33.3362
341.167,33.2357
341.84,33.1472
342.513,33.6631
343.185,32.4955
343.858,32.4388
344.531,32.7283
345.204,32.8141
345.877,32.9307
346.55,34.1122
347.223,33.6157
347.896,36.6537
348.569,38.8757
349.242,41.0387
349.915,42.7726
350.587,40.9849
351.26,36.3973
351.933,36.6099
352.606,36.6261
353.279,36.6807
353.952,34.9557
354.625,34.0001
355.298,34.6562
355.971,34.2598
356.644,33.3271
357.317,33.5291
357.99,32.6202
358.662,33.799
359.335,33.4681
360.008,33.6993
360.681,32.4279
361.354,33.647
362.027,32.6176
362.7,33.6049
363.373,32.9342
364.046,33.0735
364.719,32.0533
365.392,33.757
366.064,33.102
366.737,33.0937
367.41,33.0409
368.083,34.6353
368.756,35.1437
369.429,35.0252
370.102,34.0793
370.775,34.6661
371.448,36.7476
372.121,36.9697
372.794,36.4657
373.466,34.1521
374.139,33.8939
374.812,34.306
375.485,35.8526
376.158,32.7841
376.831,32.8328
377.504,32.8694
378.177,33.0285
378.85,34.1172
379.523,33.0894
380.196,32.4936
380.869,33.1354
381.541,33.088
382.214,33.5277
382.887,33.7824
383.56,32.6371
384.233,32.4138
384.906,33.094
385.579,33.4628
386.252,33.1631
386.925,33.1071
387.598,32.2257
388.271,33.1098
388.943,33.849
389.616,33.7525
390.289,34.9409
390.962,36.3181
391.635,39.4918
392.308,39.8101
392.981,39.9992
393.654,38.5371
394.327,36.6773
395,34.9679
395.673,33.3214
396.346,33.0727
397.018,32.9134
397.691,32.5464
398.364,32.8035
399.037,31.691
399.71,31.5718
400.383,30.788
401.056,30.6623
401.729,31.5639
402.402,31.0603
403.075,31.2772
403.748,32.7271
404.42,32.0016
405.093,31.8695
405.766,31.6075
406.439,32.4124
407.112,32.1868
407.785,32.608
408.458,32.287
409.131,31.8989
409.804,32.3082
410.477,32.0742
411.15,34.3622
411.823,32.4954
412.495,32.5553
413.168,31.5916
413.841,31.7121
414.514,30.7605
415.187,31.9825
415.86,32.2989
416.533,31.9829
417.206,33.0189
417.879,33.3393
418.552,32.7518
419.225,32.2368
419.897,32.508
420.57,32.8908
421.243,32.9798
421.916,32.6313
422.589,31.9686
423.262,32.7995
423.935,32.5783
424.608,33.744
425.281,34.1583
425.954,33.5068
426.627,34.14
427.299,33.8555
427.972,31.5132
428.645,32.5006
429.318,34.4453
429.991,33.7745
430.664,33.2995
431.337,33.3868
432.01,32.309
432.683,32.2452
433.356,32.3145
434.029,32.9683
434.702,33.2028
435.374,32.5755
436.047,32.1975
436.72,33.2261
437.393,32.547
438.066,33.082
438.739,33.6417
439.412,34.7124
440.085,34.4455
440.758,36.7822
441.431,35.8223
442.104,36.2303
442.776,35.4051
443.449,35.1236
444.122,34.308
444.795,34.7602
445.468,34.1284
446.141,33.3072
446.814,32.7139
447.487,32.7787
448.16,32.5981
448.833,32.6046
449.506,32.9831
450.179,32.2915
450.851,32.0507
451.524,32.6746
452.197,32.4647
452.87,32.7718
453.543,32.1225
454.216,32.8047
454.889,32.878
455.562,31.7102
456.235,32.0069
456.908,32.918
457.581,32.8488
458.253,33.2064
458.926,31.1375
459.599,32.7642
460.272,32.1353
460.945,33.1445
461.618,33.9353
462.291,33.2966
462.964,32.9204
463.637,32.2035
464.31,33.4446
464.983,32.9195
465.656,34.0909
466.328,35.4723
467.001,35.0911
467.674,34.8923
468.347,33.9157
469.02,33.7144
469.693,34.2234
470.366,33.7423
471.039,33.7909
471.712,32.4132
472.385,32.5672
473.058,32.6597
473.73,32.0196
474.403,32.366
475.076,32.8743
475.749,32.3611
476.422,32.0844
477.095,32.2213
477.768,30.7877
478.441,31.8667
479.114,32.1884
479.787,32.19
480.46,32.1956
481.133,31.4949
481.805,31.4891
482.478,31.5331
483.151,31.743
483.824,31.6112
484.497,31.3383
485.17,30.9433
485.843,31.4581
486.516,32.3166
487.189,32.6608
487.862,32.7241
488.535,32.1147
489.207,31.5623
489.88,31.2914
490.553,31.8952
491.226,32.0799
491.899,33.1758
492.572,32.4267
493.245,32.4952
493.918,34.6738
494.591,35.81
495.264,34.0238
495.937,34.645
496.609,33.1303
497.282,32.7889
497.955,32.1828
498.628,32.5473
499.301,32.95
499.974,32.2269
500.647,31.5896
501.32,31.0364
501.993,31.2054
502.666,30.9395
503.339,31.3885
504.012,31.3401
504.684,31.1898
505.357,30.6047
506.03,30.7207
506.703,30.4067
507.376,31.5024
508.049,31.2359
508.722,30.2423
509.395,30.7923
510.068,30.8125
510.741,29.9899
511.414,30.4486
512.086,30.1124
512.759,30.7843
513.432,30.6894
514.105,30.0791
514.778,29.9695
515.451,29.6915
516.124,30.34
516.797,30.2273
517.47,29.1127
518.143,29.86
518.816,29.0476
519.489,29.5311
520.161,29.2988
520.834,30.5277
521.507,30.932
522.18,32.1577
522.853,33.0223
523.526,34.4413
524.199,36.6739
524.872,37.0899
525.545,36.4964
526.218,35.4779
526.891,36.3002
527.563,35.0795
528.236,35.1069
528.909,30.9672
529.582,30.3114
530.255,30.0771
530.928,29.722
531.601,30.0777
532.274,29.4388
532.947,29.3394
533.62,28.5031
534.293,29.1726
534.966,29.759
535.638,28.2653
536.311,29.2591
536.984,28.2853
537.657,28.6303
538.33,29.1965
539.003,28.4154
539.676,29.324
540.349,28.5262
541.022,28.499
541.695,28.6174
542.368,28.4996
543.04,29.6272
543.713,29.5623
544.386,28.6894
545.059,29.0212
545.732,29.3098
546.405,29.0048
547.078,29.0387
547.751,30.1929
548.424,29.5702
549.097,29.4559
549.77,29.2031
550.443,29.5782
551.115,29.8709
551.788,28.8887
552.461,28.1587
553.134,28.7815
553.807,29.3579
554.48,28.9544
555.153,29.1525
555.826,30.4223
556.499,30.8031
557.172,29.9108
557.845,28.6156
558.517,29.4249
559.19,28.3997
559.863,27.6543
560.536,28.7862
561.209,28.4081
561.882,28.2796
562.555,28.7547
563.228,28.5931
563.901,27.8264
564.574,28.1239
565.247,28.1939
565.919,28.0007
566.592,28.5531
567.265,28.8775
567.938,28.5608
568.611,28.6567
569.284,28.511
569.957,28.4098
570.63,27.9367
571.303,28.2594
571.976,27.8035
572.649,27.8698
573.322,27.5544
573.994,27.9679
574.667,28.0397
575.34,28.169
576.013,28.0012
576.686,27.7784
577.359,28.1962
578.032,29.0133
578.705,29.0267
579.378,28.9026
580.051,28.619
580.724,28.7496
581.396,29.165
582.069,29.728
582.742,29.9892
583.415,29.6218
584.088,28.8934
584.761,29.649
585.434,29.5278
586.107,30.1985
586.78,31.9806
587.453,33.8991
588.126,34.8623
588.799,34.4997
589.471,34.7247
590.144,33.4136
